value,sourceX,sourceY,targetX,targetY
0,breakfast,level1,lunch,level1
0,breakfast,level1,lunch,level2
0,breakfast,level1,lunch,level3
0,breakfast,level1,lunch,level4
0,breakfast,level1,lunch,level5
0,breakfast,level2,lunch,level1
1,breakfast,level2,lunch,level2
12,breakfast,level2,lunch,level3
3,breakfast,level2,lunch,level4
0,breakfast,level2,lunch,level5
0,breakfast,level3,lunch,level1
12,breakfast,level3,lunch,level2
111,breakfast,level3,lunch,level3
35,breakfast,level3,lunch,level4
9,breakfast,level3,lunch,level5
0,breakfast,level4,lunch,level1
8,breakfast,level4,lunch,level2
28,breakfast,level4,lunch,level3
27,breakfast,level4,lunch,level4
14,breakfast,level4,lunch,level5
0,breakfast,level5,lunch,level1
1,breakfast,level5,lunch,level2
7,breakfast,level5,lunch,level3
9,breakfast,level5,lunch,level4
4,breakfast,level5,lunch,level5
0,lunch,level1,supper,level1
0,lunch,level1,supper,level2
0,lunch,level1,supper,level3
0,lunch,level1,supper,level4
0,lunch,level1,supper,level5
0,lunch,level2,supper,level1
3,lunch,level2,supper,level2
15,lunch,level2,supper,level3
5,lunch,level2,supper,level4
0,lunch,level2,supper,level5
1,lunch,level3,supper,level1
16,lunch,level3,supper,level2
96,lunch,level3,supper,level3
21,lunch,level3,supper,level4
3,lunch,level3,supper,level5
0,lunch,level4,supper,level1
5,lunch,level4,supper,level2
51,lunch,level4,supper,level3
18,lunch,level4,supper,level4
4,lunch,level4,supper,level5
0,lunch,level5,supper,level1
1,lunch,level5,supper,level2
14,lunch,level5,supper,level3
7,lunch,level5,supper,level4
1,lunch,level5,supper,level5
